Id,ProductName,Category,Price
101,32GB MicroSD Card,Electronics,290.00
102,4K Ultra HD Smart TV,Electronics,9999.00
103,Bluetooth Speaker Mini,Electronics,799.00
104,Digital Alarm Clock,Electronics,450.00
105,Gaming Keyboard RGB,Electronics,1200.00
106,HDMI Cable 2m,Electronics,150.00
107,Laptop Stand Adjustable,Electronics,650.00
108,Noise Cancelling Earbuds,Electronics,1850.00
109,Portable Bluetooth Mouse,Electronics,450.00
110,"Portable Power Bank 10,000mAh",Electronics,1000.00
111,Smartphone Screen Protector,Electronics,120.00
112,Smartwatch X,Electronics,2300.00
113,USB-C Power Adapter 20W,Electronics,299.00
114,Waterproof Case for Smartphones,Electronics,300.00
115,Wired Earphones with Mic,Electronics,350.00
116,Wireless Charger Pad,Electronics,990.00
117,Wireless Headphones Pro,Electronics,1499.00
201,Leather Wallet,Fashion,990.00
202,Backpack Water Resistant,Fashion,1400.00
203,Bluetooth Sunglasses,Fashion,2600.00
204,Casual Sneakers,Fashion,1700.00
205,Classic Watch Quartz,Fashion,4000.00
206,Cotton Polo Shirt,Fashion,499.00
207,Dress Shoes Formal,Fashion,3500.00
208,Hoodie Fleece,Fashion,1800.00
209,Laptop Backpack Anti-Theft,Fashion,1800.00
210,Leather Belt,Fashion,600.00
211,Slim Fit Jeans,Fashion,1200.00
212,Smartwatch Fitness Tracker,Fashion,2800.00
213,Sports Jacket,Fashion,2000.00
214,Sunglasses UV Protection,Fashion,850.00
215,T-Shirt Cotton Unisex,Fashion,250.00
216,Waterproof Running Shoes,Fashion,2200.00
301,Electric Kettle 1.7L,Home Appliances,899.00
302,Air Fryer 4.5L,Home Appliances,3290.00
303,Air Purifier,Home Appliances,8500.00
304,Coffee Maker Drip,Home Appliances,2000.00
305,Cordless Vacuum Cleaner,Home Appliances,5800.00
306,Electric Fan 16 Inch,Home Appliances,1200.00
307,Induction Cooktop,Home Appliances,3900.00
308,Microwave Oven,Home Appliances,4500.00
309,Portable Air Conditioner,Home Appliances,10000.00
310,Refrigerator Mini,Home Appliances,6500.00
311,Rice Cooker 1.8L,Home Appliances,1200.00
312,Sandwich Maker,Home Appliances,700.00
313,Slow Cooker 3.5L,Home Appliances,2700.00
314,Smart Door Lock,Home Appliances,5200.00
315,Steam Iron,Home Appliances,1500.00
316,Toaster 4 Slice,Home Appliances,1400.00
317,Washing Machine Top Load,Home Appliances,12500.00
